time,Ha Noi,Vinh,Da Nang,Nha Trang,Ho Chi Minh,Ca Mau
00 15-9-2019,25.65,24.79,24.01,25.06,25.48,24.97
01 15-9-2019,25.31,24.21,24.02,24.93,25.16,24.83
02 15-9-2019,25.05,23.73,23.89,24.79,24.80,24.55
03 15-9-2019,24.79,23.36,23.83,24.84,24.74,24.48
04 15-9-2019,24.59,23.05,23.69,24.82,24.80,24.38
05 15-9-2019,24.40,22.80,23.52,24.79,24.87,24.40
06 15-9-2019,24.38,22.79,23.68,25.10,24.71,24.41
07 15-9-2019,26.72,25.61,24.92,26.56,25.03,24.91
08 15-9-2019,28.84,26.93,26.51,26.53,25.75,25.85
09 15-9-2019,30.29,28.72,27.48,26.95,26.64,26.79
10 15-9-2019,31.35,29.97,26.96,27.23,27.68,27.53
11 15-9-2019,32.05,28.93,26.86,27.38,28.43,28.98
12 15-9-2019,31.31,28.94,26.65,27.47,28.29,29.24
13 15-9-2019,30.95,30.25,27.83,27.44,28.00,30.66
14 15-9-2019,30.56,30.62,26.49,27.16,27.67,30.97
15 15-9-2019,31.13,30.58,26.29,26.68,27.29,30.59
16 15-9-2019,30.80,30.20,26.60,26.45,27.29,29.13
17 15-9-2019,29.94,29.36,25.80,26.67,26.69,28.72
18 15-9-2019,28.53,27.48,24.82,25.92,25.81,27.46
19 15-9-2019,28.89,27.03,24.93,25.88,25.93,27.07
20 15-9-2019,28.06,26.41,24.70,25.70,25.97,26.75
21 15-9-2019,27.43,26.20,24.41,25.62,25.94,26.32
22 15-9-2019,26.98,25.79,24.17,25.60,25.90,26.29
23 15-9-2019,26.68,25.31,23.81,25.53,25.80,26.36
00 16-9-2019,26.34,25.29,23.49,25.30,25.54,26.27
01 16-9-2019,25.98,24.99,23.49,25.20,25.41,25.58
02 16-9-2019,25.74,24.46,23.71,25.06,25.22,25.22
03 16-9-2019,25.67,24.20,23.76,25.01,25.06,25.05
04 16-9-2019,25.25,24.58,23.52,24.91,24.83,25.00
05 16-9-2019,25.03,24.53,23.38,24.79,24.61,24.90
06 16-9-2019,25.19,24.57,23.32,24.89,24.41,24.86
07 16-9-2019,26.62,26.03,24.33,25.44,24.69,25.32
08 16-9-2019,28.73,27.67,26.56,27.93,26.52,26.84
09 16-9-2019,30.28,29.75,28.08,28.56,27.48,26.26
10 16-9-2019,31.44,31.16,28.99,28.68,27.46,26.17
11 16-9-2019,32.11,31.05,29.61,28.40,27.50,25.84
12 16-9-2019,33.04,30.37,29.86,28.18,27.51,26.04
13 16-9-2019,33.45,30.20,29.79,27.95,27.34,26.20
14 16-9-2019,31.76,31.65,29.68,27.62,26.84,26.14
15 16-9-2019,31.52,31.69,29.30,27.27,26.21,26.02
16 16-9-2019,30.86,30.30,28.66,26.97,25.76,25.92
17 16-9-2019,30.54,29.82,27.71,26.65,25.47,25.94
18 16-9-2019,29.40,27.98,25.95,26.21,25.16,25.63
19 16-9-2019,29.09,27.16,25.24,26.01,25.01,25.60
20 16-9-2019,28.29,26.73,25.02,25.96,24.97,25.73
21 16-9-2019,27.67,26.66,24.69,25.97,24.93,25.55
22 16-9-2019,27.04,26.31,24.58,25.91,24.73,25.67
23 16-9-2019,26.60,25.87,24.08,25.91,24.51,25.55
00 17-9-2019,26.36,25.61,23.47,25.65,24.28,25.85
01 17-9-2019,26.03,25.19,23.00,25.64,24.01,25.90
02 17-9-2019,25.63,24.44,22.20,25.44,23.77,25.79
03 17-9-2019,25.06,23.89,21.66,25.30,24.23,25.86
04 17-9-2019,24.65,23.55,21.21,25.23,24.56,25.93
05 17-9-2019,24.29,23.31,20.93,25.40,24.68,25.86
06 17-9-2019,23.96,23.31,21.31,25.76,24.87,25.71
07 17-9-2019,26.33,26.00,24.01,26.35,25.70,26.59
08 17-9-2019,28.87,28.29,26.43,26.95,27.19,27.42
09 17-9-2019,30.50,29.93,28.22,27.42,27.72,29.24
10 17-9-2019,31.71,31.03,28.95,27.58,29.61,28.41
11 17-9-2019,32.73,31.85,29.76,27.75,28.87,28.89
12 17-9-2019,33.23,32.33,29.88,27.58,29.02,28.80
13 17-9-2019,33.36,32.57,29.78,27.50,28.91,28.95
14 17-9-2019,32.16,32.46,29.47,27.44,28.77,28.71
15 17-9-2019,32.02,32.08,28.97,27.26,28.55,28.43
16 17-9-2019,32.08,31.41,27.78,26.95,28.35,28.12
17 17-9-2019,31.49,30.42,26.93,26.62,28.11,27.79
18 17-9-2019,30.14,28.22,25.74,26.26,27.40,27.12
19 17-9-2019,29.45,27.63,25.23,26.13,27.05,26.97
20 17-9-2019,28.82,27.19,25.17,26.20,26.67,26.87
21 17-9-2019,28.49,26.92,25.16,26.23,26.01,26.53
22 17-9-2019,27.98,26.61,25.03,26.03,25.90,26.10
23 17-9-2019,27.67,26.19,24.76,25.84,25.71,25.50
00 18-9-2019,27.28,25.89,24.33,25.71,25.61,25.54
01 18-9-2019,27.23,25.18,23.93,25.63,25.55,25.47
02 18-9-2019,27.02,24.50,23.45,25.50,25.50,25.42
03 18-9-2019,26.72,23.88,23.14,25.44,25.40,25.65
04 18-9-2019,26.49,24.06,22.89,25.49,25.45,26.00
05 18-9-2019,25.96,24.33,22.62,25.37,25.48,25.67
06 18-9-2019,25.94,24.30,23.26,25.44,25.60,25.88
07 18-9-2019,26.59,25.10,25.42,25.71,26.32,26.16
08 18-9-2019,27.70,27.83,27.18,26.55,26.73,26.73
09 18-9-2019,29.21,28.90,27.27,27.12,27.66,27.08
10 18-9-2019,29.19,28.70,27.42,27.18,28.39,27.76
11 18-9-2019,29.68,28.80,27.49,27.16,29.13,28.57
12 18-9-2019,29.84,29.05,27.63,26.88,29.58,29.12
13 18-9-2019,30.26,28.91,27.33,26.81,28.31,29.42
14 18-9-2019,30.14,28.57,27.61,26.79,27.93,29.23
15 18-9-2019,30.02,28.11,27.22,26.66,27.53,28.74
16 18-9-2019,29.80,28.00,26.93,26.55,26.98,28.22
17 18-9-2019,29.70,27.73,26.42,26.48,26.65,27.40
18 18-9-2019,28.52,27.27,25.79,25.96,25.89,26.74
19 18-9-2019,27.89,27.22,25.65,25.80,25.45,26.48
20 18-9-2019,27.38,26.59,25.63,25.89,25.03,25.85
21 18-9-2019,27.04,25.97,25.53,26.14,24.69,25.19
22 18-9-2019,26.54,25.74,25.80,26.39,24.42,24.61
23 18-9-2019,26.14,26.36,25.86,26.64,24.12,24.17
00 19-9-2019,25.59,26.36,25.74,26.59,23.90,24.15
01 19-9-2019,24.84,26.35,25.62,26.52,23.70,24.23
02 19-9-2019,25.02,26.02,25.49,26.21,23.52,24.31
03 19-9-2019,25.02,25.00,25.15,25.54,23.25,24.40
04 19-9-2019,25.00,24.74,25.21,25.25,23.38,24.43
05 19-9-2019,24.26,24.77,24.42,25.08,23.29,24.42
06 19-9-2019,24.34,24.86,24.72,24.94,23.45,24.53
07 19-9-2019,26.79,25.32,26.49,24.92,24.69,26.74
08 19-9-2019,28.68,26.64,27.71,25.51,26.44,28.08
09 19-9-2019,29.65,27.62,27.86,26.42,27.50,29.65
10 19-9-2019,30.30,28.02,27.35,27.07,26.70,30.58
11 19-9-2019,29.28,28.46,27.03,27.48,25.93,31.37
